Price,Gold_Close,Gold_Volume,BTC_Close,BTC_Volume,Gold_dv,BTC_dv,Gold_dv_chg,BTC_dv_chg
Ticker,GC=F,GC=F,BTC-USD,BTC-USD,,,,
Date,,,,,,,,
2018-01-03,1316.199951171875,42,15201.0,16871900160,55280.39794921875,256469754332160.0,-0.38117754519226477,0.01613452236883317
2018-01-04,1319.4000244140625,2,15599.2001953125,21783199744,2638.800048828125,339800493701136.0,-0.9522651763243065,0.3249144897649505
2018-01-05,1320.300048828125,1,17429.5,23840899072,1320.300048828125,415534950375424.0,-0.4996589266343002,0.22287918375097648
2018-01-08,1318.5999755859375,41,15170.099609375,18413899776,54062.59899902344,279340693798968.0,39.947206695181485,-0.32775644131356063
2018-01-09,1311.699951171875,16,14595.400390625,16659999744,20987.19921875,243159366771390.0,-0.6117981819718081,-0.12952401075375175
2018-01-10,1317.4000244140625,70,14973.2998046875,18500800512,92218.00170898438,277018032692892.0,3.3940118330127946,0.13924475281815796
2018-01-11,1320.5999755859375,9,13405.7998046875,16534099968,11885.399780273438,221652834121698.0,-0.8711162727448745,-0.19986135210400913
2018-01-12,1333.4000244140625,14,13980.599609375,12065699840,18667.600341796875,168685718469940.0,0.5706329351058148,-0.23896430587788708
2018-01-16,1335.4000244140625,13,11490.5,18853799936,17360.200317382812,216639588164608.0,-0.07003578395059085,0.28427936952595934
2018-01-17,1338.0,27,11188.599609375,18830600192,36126.0,210688045952508.0,1.0809667710934732,-0.02747208976218085
2018-01-18,1326.0,211,11474.900390625,15020399616,279786.0,172357589420982.0,6.744726789569839,-0.181929906645801
2018-01-19,1331.9000244140625,50,11607.400390625,10740400128,66595.00122070312,124668124641216.0,-0.7619787937184022,-0.2766890912084229
2018-01-22,1330.9000244140625,162,10931.400390625,10537400320,215605.80395507812,115188541974220.0,2.2375673849833997,-0.0760385438882426
2018-01-23,1335.699951171875,47,10868.400390625,9660609536,62777.897705078125,104995372454738.0,-0.7088302051545977,-0.08849117581298405
2018-01-24,1355.9000244140625,18,11359.400390625,9940989952,24406.200439453125,112923685143948.0,-0.611229408252725,0.07551106781041983
2018-01-25,1362.4000244140625,4,11259.400390625,8873169920,5449.60009765625,99906572863330.0,-0.7767124747182335,-0.11527353419280117
2018-01-26,1351.5999755859375,280546,11171.400390625,9746199552,379185966.7507324,108878697482322.0,69579.51232306234,0.08980514856881006
2018-01-30,1335.4000244140625,52100,10106.2998046875,8637859840,69574341.27197266,87296801213910.0,-0.8165165713590105,-0.1982196404573643
2018-01-31,1339.0,4881,10221.099609375,8041160192,6535659.0,82189499297373.0,-0.9060622223579309,-0.058505029342623804
2018-02-01,1344.300048828125,1680,9170.5400390625,9959400448,2258424.08203125,91333080573441.0,-0.6544458512858076,0.11124999366385313
2018-02-02,1333.699951171875,2841,8830.75,12726899712,3789041.561279297,112388069631744.0,0.6777369633215182,0.23052971525878485
2018-02-05,1333.0,641,6955.27001953125,9285289984,854453.0,64581699048369.0,-0.7744936321808225,-0.4253687312187102
2018-02-06,1326.0999755859375,529,7754.0,13999800320,701506.8870849609,108554451681280.0,-0.1789988599900042,0.6808856577151561
2018-02-07,1311.5999755859375,491,7621.2998046875,9169280000,643995.5880126953,69881831873125.0,-0.08198251525547795,-0.3562508880031865
2018-02-08,1316.9000244140625,459,8265.58984375,9346750464,604457.1112060547,77256405707304.0,-0.06139557093652204,0.10552920031587054
2018-02-09,1313.0999755859375,451,8736.98046875,6784820224,592208.0889892578,59278841781068.0,-0.020264501797913836,-0.23269997823023703
2018-02-12,1324.199951171875,140,8926.5703125,6256439808,185387.9931640625,55848549852036.0,-0.6869546421081978,-0.0578670538419247
2018-02-13,1328.0999755859375,71,8598.3095703125,5696719872,94295.09826660156,48982160994807.0,-0.4913635092691607,-0.12294659172746059
2018-02-14,1355.5,400,9494.6298828125,7909819904,542200.0,75100812428183.5,4.75003377659178,0.5332278303553319
2018-02-15,1352.0999755859375,111,10166.400390625,9062540288,150083.09729003906,92133413123978.0,-0.7231960581150146,0.22679649054505546
2018-02-16,1353.199951171875,110,10233.900390625,7296159744,148851.99462890625,74668172054184.0,-0.008202806867409485,-0.18956468101634472
2018-02-20,1328.800048828125,283,11403.7001953125,9926540288,376050.4138183594,113199289421043.0,1.5263377541958207,0.5160313465139921
2018-02-21,1330.0,119,10690.400390625,9405339648,158270.0,100546846646940.0,-0.5791255794856062,-0.11177139749563658
2018-02-22,1330.5999755859375,70,10005.0,8040079872,93141.99829101562,80440999119360.0,-0.41149934737464067,-0.19996497352303477
2018-02-23,1328.199951171875,427,10301.099609375,7739500032,567141.3791503906,79725360756393.0,5.0889973326361035,-0.00889643802043183
2018-02-26,1330.699951171875,652,10366.7001953125,7287690240,867616.3681640625,75549299834385.0,0.5298061472146507,-0.05238058357325315
2018-02-27,1315.5,710,10725.599609375,6966179840,934005.0,74716455770740.0,0.07651841789986102,-0.011023848870482134
2018-02-28,1315.5,58,10397.900390625,6936189952,76299.0,72121812211350.0,-0.9183098591549296,-0.03472653423700134
2018-03-01,1302.9000244140625,43,10951.0,7317279744,56024.70104980469,80131530476544.0,-0.26572168639425564,0.11105819473478906
2018-03-02,1321.0999755859375,155,11086.400390625,7620590080,204770.4962158203,84484912839705.0,2.655003817580106,0.054327957263156534
2018-03-05,1318.0999755859375,18,11573.2998046875,6468539904,23725.799560546875,74862351607576.5,-0.8841346776073601,-0.11389680013502046
2018-03-06,1333.5999755859375,18,10779.900390625,6832169984,24004.799560546875,73650111879338.0,0.01175935079818946,-0.01619291542687551
2018-03-07,1326.0,27,9965.5703125,8797910016,35802.0,87676190867496.0,0.4914517369619045,0.190442059492552
2018-03-08,1319.9000244140625,62,9395.009765625,7186089984,81833.80151367188,67513385576340.0,1.2857326829135767,-0.22996899262683312
2018-03-09,1322.4000244140625,88,9337.5498046875,8704190464,116371.2021484375,81275811967086.0,0.4220432143677879,0.20384737446153234
